content_name,domain,weight,active,source_method,importance,contributesK,component_name,context_name
ps_python_queue,py,1,1,parser,1,1,alias_ImportFrom__Assign_For_Int_Add_Not_FunctionDef_If_NotEq_Str_Attribute_AugAssign_Return_While_arg,alias_ImportFrom__Assign_For_Int_Add_Not_FunctionDef_If_NotEq_Str_Attribute_AugAssign_Return_While_arg
ps_python_for_odd_or_even,py,1,1,parser,1,1,For_print_Assign_Int_If_List_Mod_Str_Eq,For_print_Assign_Int_If_List_Mod_Str_Eq
ps_python_nested_calls,py,1,1,parser,1,1,print__Int_Add_FunctionDef_Return_Mult_arg,print__Int_Add_FunctionDef_Return_Mult_arg
ps_python_even_first1,py,1,1,parser,1,1,_print_Assign_Int_Sub_Add_If_List_Lt_NotEq_Mod_And_LtE_AugAssign_Eq_While,_print_Assign_Int_Sub_Add_If_List_Lt_NotEq_Mod_And_LtE_AugAssign_Eq_While
ps_python_palindrome4,py,1,1,parser,1,1,_Assign_Int_Sub_Add_If_FunctionDef_NotEq_Lt_Attribute_AugAssign_Bool_Return_While_arg,_Assign_Int_Sub_Add_If_FunctionDef_NotEq_Lt_Attribute_AugAssign_Bool_Return_While_arg
ps_python_remove_dublicates,py,1,1,parser,1,1,For__Assign_If_FunctionDef_List_NotIn_Attribute_Return_arg,For__Assign_If_FunctionDef_List_NotIn_Attribute_Return_arg
ps_simple_params,py,1,1,parser,1,1,print__Int_Add_FunctionDef_Return_arg,print__Int_Add_FunctionDef_Return_arg
ps_python_sum_of_two1,py,1,1,parser,1,1,Add_If_FunctionDef_And_Bool_Eq_Return_arg,Add_If_FunctionDef_And_Bool_Eq_Return_arg
ps_python_list_iteration_zoo,py,1,1,parser,1,1,For_print_Assign_List_Str,For_print_Assign_List_Str
ps_python_try_adding,py,1,1,parser,1,1,print_Add_ExceptHandler_FunctionDef_Str_Try_Return_arg,print_Add_ExceptHandler_FunctionDef_Str_Try_Return_arg
ps_python_calculation_in_dictionary,py,1,1,parser,1,1,For__print_Assign_Int_Add_Str_Attribute_AugAssign_Div,For__print_Assign_Int_Add_Str_Attribute_AugAssign_Div
ps_python_nested_ifs,py,1,1,parser,1,1,_print_Assign_Int_If_Lt_Str_input_LtE_Eq,_print_Assign_Int_If_Lt_Str_input_LtE_Eq
ps_python_palindrome1,py,1,1,parser,1,1,_For_print_Assign_Add_If_FunctionDef_Str_Attribute_Eq_arg,_For_print_Assign_Add_If_FunctionDef_Str_Attribute_Eq_arg
ps_python_even_first4,py,1,1,parser,1,1,For__print_Assign_Int_If_List_Mod_Attribute_Eq,For__print_Assign_Int_If_List_Mod_Attribute_Eq
ps_python_freq_of_char2,py,1,1,parser,1,1,For_print_Assign_Int_Add_If_In_Str_Dict_AugAssign,For_print_Assign_Int_Add_If_In_Str_Dict_AugAssign
ps_python_modulo_is_even,py,1,1,parser,1,1,Int_If_FunctionDef_Mod_Bool_Eq_Return_arg,Int_If_FunctionDef_Mod_Bool_Eq_Return_arg
ps_python_iteration_addition,py,1,1,parser,1,1,print_Assign_Int_Add_Lt_While,print_Assign_Int_Add_Lt_While
ps_python_list_reverse8,py,1,1,parser,1,1,_For_print_Assign_Int_Sub_List_Mult,_For_print_Assign_Int_Sub_List_Mult
ps_python_tree_inorder_traversal,py,1,1,parser,1,1,_Assign_Add_If_FunctionDef_List_Attribute_Return_arg,_Assign_Add_If_FunctionDef_List_Attribute_Return_arg
