content_name,domain,weight,active,source_method,importance,contributesK,component_name,context_name
q_py_exceptions_addarr,py,1,1,parser,1,1,For_FloorDiv__Assign_print_Int_Add_ExceptHandler_FunctionDef_List_Str_Try_AugAssign_Return_arg,For_FloorDiv__Assign_print_Int_Add_ExceptHandler_FunctionDef_List_Str_Try_AugAssign_Return_arg
q_py_data_types2,py,1,1,parser,1,1,_print_Assign_Int_Div,_print_Assign_Int_Div
q_py_rw_file1,py,1,1,parser,1,1,_For_print_Assign_Int_If_FunctionDef_List_Lt_Str_Attribute,_For_print_Assign_Int_If_FunctionDef_List_Lt_Str_Attribute
q_py_slinkedlist1,py,1,1,parser,1,1,_Sub_FunctionDef_Str_Mod_Attribute_Nonetype_While_arg_ClassDef_If_NotEq_Gt_And_AugAssign_Return_Assign_Int_Not_Bool_Eq_print_Add_USub,_Sub_FunctionDef_Str_Mod_Attribute_Nonetype_While_arg_ClassDef_If_NotEq_Gt_And_AugAssign_Return_Assign_Int_Not_Bool_Eq_print_Add_USub
q_py_queue_num,py,1,1,parser,1,1,_Sub_FunctionDef_Str_Mod_LtE_Attribute_Nonetype_arg_ClassDef_If_NotEq_Raise_Lt_AugAssign_Return_For_Assign_Int_Or_Eq_print_Add_List,_Sub_FunctionDef_Str_Mod_LtE_Attribute_Nonetype_arg_ClassDef_If_NotEq_Raise_Lt_AugAssign_Return_For_Assign_Int_Or_Eq_print_Add_List
q_py_nested_if_elif1,py,1,1,parser,1,1,print_Assign_Int_If_Mod_Str_GtE_Eq,print_Assign_Int_If_Mod_Str_GtE_Eq
q_py_q_py_string_formatting1,py,1,1,parser,1,1,print_Int_Mod_Str_Tuple_Float,print_Int_Mod_Str_Tuple_Float
q_py_list_except1,py,1,1,parser,1,1,_For_print_Assign_Int_Add_ExceptHandler_Try_AugAssign_Tuple,_For_print_Assign_Int_Add_ExceptHandler_Try_AugAssign_Tuple
q_py_infix_to_postfix,py,1,1,parser,1,1,_Sub_FunctionDef_Str_Attribute_While_arg_ClassDef_If_NotEq_In_And_Return_For_Assign_Int_Not_GtE_Or_Eq_print_List_Dict,_Sub_FunctionDef_Str_Attribute_While_arg_ClassDef_If_NotEq_In_And_Return_For_Assign_Int_Not_GtE_Or_Eq_print_List_Dict
q_py_demoquestion2_v2,py,1,1,parser,1,1,Int_Sub_If_FunctionDef_Gt_GtE_And_Bool_Return_arg,Int_Sub_If_FunctionDef_Gt_GtE_And_Bool_Return_arg
q_py_dlinkedlist3,py,1,1,parser,1,1,_FunctionDef_Str_Attribute_Nonetype_While_arg_IsNot_ClassDef_If_NotEq_AugAssign_Return_Assign_Int_Is_Eq_print_Add_Break_List,_FunctionDef_Str_Attribute_Nonetype_While_arg_IsNot_ClassDef_If_NotEq_AugAssign_Return_Assign_Int_Is_Eq_print_Add_Break_List
q_py_demoquestion2,py,1,1,parser,1,1,Int_Sub_If_FunctionDef_Gt_GtE_And_Bool_Return_arg,Int_Sub_If_FunctionDef_Gt_GtE_And_Bool_Return_arg
q_py_list_remove1,py,1,1,parser,1,1,_print_Assign_Int_List_USub_Attribute,_print_Assign_Int_List_USub_Attribute
q_py_inheritance_person2,py,1,1,parser,1,1,print__Assign_ClassDef_FunctionDef_Str_Attribute_arg,print__Assign_ClassDef_FunctionDef_Str_Attribute_arg
q_py_dict_square,py,1,1,parser,1,1,_print_Assign_Int_FunctionDef_Str_Dict_AugAssign_Mult_arg,_print_Assign_Int_FunctionDef_Str_Dict_AugAssign_Mult_arg
q_py_for_loop1,py,1,1,parser,1,1,For__print_Assign_Int_Add,For__print_Assign_Int_Add
q_py_aliasing1,py,1,1,parser,1,1,_print_Assign_Int_List_Attribute,_print_Assign_Int_List_Attribute
q_py_obj_car1,py,1,1,parser,1,1,_print_Assign_Int_ClassDef_Sub_Add_FunctionDef_If_Lt_Attribute_Bool_Return_arg,_print_Assign_Int_ClassDef_Sub_Add_FunctionDef_If_Lt_Attribute_Bool_Return_arg
q_py_function_pass,py,1,1,parser,1,1,For__print_Pass_Assign_Int_FunctionDef_List_Str_arg,For__print_Pass_Assign_Int_FunctionDef_List_Str_arg
q_py_fun_car2,py,1,1,parser,1,1,_print_Assign_Int_Add_Sub_If_FunctionDef_Lt_Return_arg,_print_Assign_Int_Add_Sub_If_FunctionDef_Lt_Return_arg
q_py___eq__1,py,1,1,parser,1,1,print_Assign_Int_ClassDef_FunctionDef_Str_Attribute_Eq_Return_arg,print_Assign_Int_ClassDef_FunctionDef_Str_Attribute_Eq_Return_arg
q_py_demoquestion2_v3,py,1,1,parser,1,1,Int_Sub_If_FunctionDef_Lt_GtE_And_Bool_Return_arg,Int_Sub_If_FunctionDef_Lt_GtE_And_Bool_Return_arg
q_py_recursion_pascal,py,1,1,parser,1,1,_For_print_Assign_Int_Sub_Add_If_FunctionDef_List_AugAssign_Attribute_Eq_Return_arg,_For_print_Assign_Int_Sub_Add_If_FunctionDef_List_AugAssign_Attribute_Eq_Return_arg
q_py_inheritance_animal1,py,1,1,parser,1,1,_print_Assign_Int_ClassDef_FunctionDef_Str_Attribute_Return_Mult_arg,_print_Assign_Int_ClassDef_FunctionDef_Str_Attribute_Return_Mult_arg
q_py_substring1,py,1,1,parser,1,1,print_Assign_Int_Add_Slice_Str,print_Assign_Int_Add_Slice_Str
